Time (msec),AFR (lambda),AFR Target (lambda),Boost (psi),Boost Target (psi),Coolant (degF),FKC (deg),FLKC (deg),Fuel correct (%),Fuel learn (%),Fuel pump DC (%),IAM,Injector DC (%),Injector PW (ms),Intake (degF),Load (g/rev),MAF (g/s),Req TQ,RPM,Speed (mph),TGV left (V),TGV right (V),Throttle pedal (%),Throttle plate (%),Timing (deg),Turbo WGDC (%)
148,0.99,1.00,-9.9,-11.3,156,0.00,0.00,2.5,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.39,0.00,930,0.0,0.80,0.78,0.0,5.9,15.0,0.0
149,1.00,1.00,-9.9,-11.3,156,0.00,0.00,2.5,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.37,0.00,927,0.0,0.80,0.78,0.0,5.9,16.0,0.0
211,1.00,1.00,-9.9,-11.3,156,0.00,0.00,2.6,-6.01,33.3,1.000,1.6,2.0,80,0.28,4.42,0.00,931,0.0,0.80,0.78,0.0,5.9,15.5,0.0
303,1.00,1.00,-9.9,-11.3,156,0.00,0.00,2.6,-6.01,33.3,1.000,1.5,2.0,80,0.29,4.37,0.00,916,0.0,0.80,0.78,0.0,5.9,16.5,0.0
407,1.00,1.00,-9.8,-11.3,156,0.00,0.00,2.6,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.34,0.00,925,0.0,0.80,0.78,0.0,5.9,15.5,0.0
507,1.00,1.00,-9.8,-11.3,156,0.00,0.00,2.6,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.34,0.00,917,0.0,0.80,0.78,0.0,5.9,16.5,0.0
610,1.00,1.00,-9.8,-11.3,156,0.00,0.00,2.6,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.37,0.00,930,0.0,0.80,0.78,0.0,5.9,15.0,0.0
713,1.00,1.00,-9.8,-11.3,156,0.00,0.00,2.6,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.31,0.00,923,0.0,0.80,0.78,0.0,5.9,15.5,0.0
820,1.00,1.00,-9.8,-11.3,156,0.00,0.00,2.6,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.34,0.00,929,0.0,0.80,0.78,0.0,5.9,15.5,0.0
918,0.99,1.00,-9.8,-11.3,156,0.00,0.00,2.6,-6.01,33.3,1.000,1.6,2.0,80,0.27,4.31,0.00,946,0.0,0.80,0.78,0.0,5.9,14.0,0.0
1018,1.00,1.00,-9.9,-11.3,156,0.00,0.00,2.6,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.31,0.00,916,0.0,0.80,0.78,0.0,5.9,16.5,0.0
1121,1.00,1.00,-9.9,-11.3,156,0.00,0.00,2.5,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.34,0.00,925,0.0,0.80,0.78,0.0,5.9,15.5,0.0
1224,0.99,1.00,-9.9,-11.3,156,0.00,0.00,2.5,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.31,0.00,922,0.0,0.80,0.78,0.0,5.9,16.0,0.0
1324,0.99,1.00,-9.9,-11.3,156,0.00,0.00,2.6,-6.01,33.3,1.000,1.5,2.0,80,0.27,4.22,0.00,922,0.0,0.80,0.78,0.0,5.9,17.5,0.0
1425,1.00,1.00,-9.9,-11.3,156,0.00,0.00,2.6,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.28,0.00,907,0.0,0.80,0.78,0.0,5.9,16.0,0.0
1527,1.00,1.00,-9.9,-11.3,156,0.00,0.00,2.6,-6.01,33.3,1.000,1.5,2.0,80,0.27,4.22,0.00,922,0.0,0.80,0.78,0.0,5.9,17.0,0.0
1630,1.00,1.00,-9.9,-11.3,156,0.00,0.00,2.5,-6.01,33.3,1.000,1.5,2.0,80,0.27,4.17,0.00,922,0.0,0.80,0.78,0.0,5.9,15.5,0.0
1732,0.99,1.00,-9.9,-11.3,156,0.00,0.00,2.5,-6.01,33.3,1.000,1.5,2.0,80,0.27,4.17,0.00,916,0.0,0.80,0.78,0.0,5.9,16.0,0.0
1835,1.00,1.00,-9.9,-11.3,156,0.00,0.00,2.6,-6.01,33.3,1.000,1.5,2.0,80,0.27,4.25,0.00,928,0.0,0.80,0.78,0.0,5.9,15.0,0.0
1936,1.00,1.00,-9.9,-11.3,156,0.00,0.00,2.6,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.20,0.00,916,0.0,0.80,0.78,0.0,5.9,16.0,0.0
2040,1.00,1.00,-9.9,-11.3,156,0.00,0.00,2.5,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.25,0.00,920,0.0,0.80,0.78,0.0,5.9,15.5,0.0
2139,0.99,1.00,-9.9,-11.3,156,0.00,0.00,2.4,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.28,0.00,923,0.0,0.80,0.78,0.0,5.9,15.0,0.0
2242,1.00,1.00,-9.9,-11.3,156,0.00,0.00,2.5,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.25,0.00,917,0.0,0.80,0.78,0.0,5.9,17.5,0.0
2342,1.00,1.00,-9.9,-11.3,156,0.00,0.00,2.8,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.25,0.00,904,0.0,0.80,0.78,0.0,5.9,16.0,0.0
2444,1.00,1.00,-9.9,-11.3,156,0.00,0.00,2.9,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.25,0.00,922,0.0,0.80,0.78,0.0,5.9,15.0,0.0
2547,1.00,1.00,-9.9,-11.3,156,0.00,0.00,2.9,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.25,0.00,916,0.0,0.80,0.78,0.0,5.9,15.5,0.0
2649,1.00,1.00,-9.9,-11.3,156,0.00,0.00,2.8,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.25,0.00,905,0.0,0.80,0.78,0.0,5.9,17.0,0.0
2752,1.00,1.00,-9.9,-11.3,156,0.00,0.00,2.7,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.25,0.00,921,0.0,0.80,0.78,0.0,5.9,15.0,0.0
2854,1.00,1.00,-9.9,-11.3,156,0.00,0.00,2.7,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.31,0.00,917,0.0,0.80,0.78,0.0,5.9,15.5,0.0
2955,1.00,1.00,-9.9,-11.3,156,0.00,0.00,2.9,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.25,0.00,923,0.0,0.80,0.78,0.0,5.9,15.0,0.0
3057,1.00,1.00,-9.9,-11.3,156,0.00,0.00,2.8,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.31,0.00,913,0.0,0.80,0.78,0.0,5.9,15.0,0.0
3163,0.99,1.00,-9.9,-11.3,156,0.00,0.00,2.7,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.25,0.00,922,0.0,0.80,0.78,0.0,5.9,16.0,0.0
3260,1.00,1.00,-9.9,-11.3,156,0.00,0.00,2.8,-6.01,33.3,1.000,1.5,2.0,80,0.27,4.22,0.00,922,0.0,0.80,0.78,0.0,5.9,15.0,0.0
3365,1.00,1.00,-9.9,-11.3,156,0.00,0.00,2.8,-6.01,33.3,1.000,1.5,2.0,80,0.29,4.31,0.00,900,0.0,0.80,0.78,0.0,5.9,17.0,0.0
3465,1.00,1.00,-9.9,-11.3,156,0.00,0.00,2.9,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.25,0.00,919,0.0,0.80,0.78,0.0,5.9,15.0,0.0
3566,0.99,1.00,-9.8,-11.3,156,0.00,0.00,2.8,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.25,0.00,916,0.0,0.80,0.78,0.0,5.9,15.5,0.0
3668,1.00,1.00,-9.8,-11.3,156,0.00,0.00,2.9,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.28,0.00,914,0.0,0.80,0.78,0.0,5.9,15.5,0.0
3772,1.00,1.00,-9.8,-11.3,156,0.00,0.00,2.9,-6.01,33.3,1.000,1.5,2.0,80,0.29,4.37,0.00,895,0.0,0.80,0.78,0.0,5.9,17.5,0.0
3874,1.00,1.00,-9.8,-11.3,156,0.00,0.00,3.0,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.25,0.00,902,0.0,0.80,0.78,0.0,5.9,16.5,0.0
3975,1.00,0.99,-9.8,-11.3,156,0.00,0.00,2.9,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.25,0.00,903,0.0,0.80,0.78,0.0,5.9,16.5,0.0
4078,1.00,1.00,-9.8,-11.3,156,0.00,0.00,3.0,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.25,0.00,915,0.0,0.80,0.78,0.0,5.9,16.0,0.0
4180,1.00,1.00,-9.8,-11.3,156,0.00,0.00,3.0,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.22,0.00,919,0.0,0.80,0.78,0.0,5.9,14.0,0.0
4282,1.00,1.00,-9.8,-11.3,156,0.00,0.00,2.9,-6.01,33.3,1.000,1.5,2.0,80,0.27,4.20,0.00,918,0.0,0.80,0.78,0.0,5.9,15.0,0.0
4383,0.99,1.00,-9.8,-11.3,156,0.00,0.00,2.7,-6.01,33.3,1.000,1.5,2.0,80,0.28,4.25,0.00,916,0.0,0.80,0.78,0.0,5.9,15.0,0.0
