Time (msec),AFR (lambda),AFR Target (lambda),Boost (psi),Boost Target (psi),Coolant (degF),FKC (deg),FLKC (deg),Fuel correct (%),Fuel learn (%),Fuel pump DC (%),IAM,Injector DC (%),Injector PW (ms),Intake (degF),Load (g/rev),MAF (g/s),Req TQ,RPM,Speed (mph),TGV left (V),TGV right (V),Throttle pedal (%),Throttle plate (%),Timing (deg),Turbo WGDC (%)
41,0.85,0.80,-9.5,-11.4,188,0.00,0.00,-0.0,-7.71,100.0,1.000,1.9,2.6,87,0.31,4.57,0.00,888,0.0,0.82,0.78,0.0,6.3,13.5,0.0
103,0.85,0.80,-9.5,-11.4,188,0.00,0.00,-0.0,-7.71,100.0,1.000,1.9,2.6,87,0.31,4.57,0.00,885,0.0,0.82,0.78,0.0,6.3,12.5,0.0
205,0.85,0.80,-9.5,-11.4,188,0.00,0.00,-0.0,-7.71,100.0,1.000,1.9,2.6,87,0.31,4.60,0.00,893,0.0,0.82,0.78,0.0,6.3,13.5,0.0
306,0.85,0.80,-9.5,-11.4,188,0.00,0.00,-1.3,-7.71,100.0,1.000,1.9,2.6,87,0.31,4.57,0.00,887,0.0,0.82,0.78,0.0,6.3,12.0,0.0
409,0.86,0.81,-9.5,-11.4,188,0.00,0.00,-3.0,-7.71,100.0,1.000,2.0,2.6,87,0.30,4.57,0.00,900,0.0,0.82,0.78,0.0,6.3,12.5,0.0
512,0.86,0.81,-9.5,-11.4,188,0.00,0.00,-5.1,-7.71,100.0,1.000,1.9,2.6,87,0.31,4.57,0.00,884,0.0,0.82,0.78,0.0,6.3,12.5,0.0
612,0.86,0.81,-9.5,-11.4,188,0.00,0.00,-6.2,-7.71,100.0,1.000,1.9,2.6,87,0.31,4.54,0.00,891,0.0,0.82,0.78,0.0,6.3,13.5,0.0
716,0.86,0.81,-9.5,-11.4,188,0.00,0.00,-0.0,-7.71,100.0,1.000,1.9,2.6,87,0.31,4.54,0.00,890,0.0,0.82,0.78,0.0,6.3,12.5,0.0
817,0.87,0.81,-9.5,-11.4,188,0.00,0.00,-0.0,-7.71,100.0,1.000,1.9,2.6,87,0.31,4.57,0.00,882,0.0,0.82,0.78,0.0,6.3,13.0,0.0
918,0.88,0.81,-9.5,-11.4,188,0.00,0.00,-0.0,-7.71,100.0,1.000,1.9,2.6,87,0.31,4.57,0.00,886,0.0,0.82,0.78,0.0,6.3,12.5,0.0
1020,0.88,0.80,-9.5,-11.4,188,0.00,0.00,-0.5,-7.71,100.0,1.000,1.9,2.6,87,0.31,4.60,0.00,882,0.0,0.82,0.78,0.0,6.3,13.0,0.0
1122,0.88,0.81,-9.4,-11.4,188,0.00,0.00,-0.5,-7.71,100.0,1.000,1.9,2.6,87,0.31,4.63,0.00,894,0.0,0.82,0.78,0.0,6.3,11.5,0.0
1224,0.88,0.81,-9.5,-11.4,188,0.00,0.00,-1.1,-7.71,100.0,1.000,1.9,2.6,87,0.31,4.66,0.00,889,0.0,0.82,0.78,0.0,6.3,12.0,0.0
1328,0.88,0.82,-9.5,-11.4,188,0.00,0.00,-2.3,-7.71,100.0,1.000,1.9,2.6,87,0.30,4.54,0.00,899,0.0,0.82,0.78,0.0,6.3,11.5,0.0
1428,0.88,0.82,-9.5,-11.4,188,0.00,0.00,-4.2,-7.71,100.0,1.000,1.9,2.6,87,0.31,4.60,0.00,884,0.0,0.82,0.78,0.0,6.3,12.5,0.0
1530,0.88,0.81,-9.5,-11.4,188,0.00,0.00,-3.8,-7.71,100.0,1.000,1.9,2.6,87,0.31,4.60,0.00,893,0.0,0.82,0.78,0.0,6.3,12.0,0.0
1632,0.88,0.82,-9.5,-11.4,186,0.00,0.00,-1.1,-7.71,100.0,1.000,1.9,2.6,87,0.31,4.60,0.00,888,0.0,0.82,0.78,0.0,6.3,12.0,0.0
1734,0.88,0.82,-9.5,-11.4,186,0.00,0.00,-3.0,-7.71,100.0,1.000,1.9,2.6,87,0.31,4.57,0.00,895,0.0,0.82,0.78,0.0,6.3,11.5,0.0
1837,0.88,0.82,-9.5,-11.4,186,0.00,0.00,-3.9,-7.71,100.0,1.000,1.9,2.6,87,0.31,4.63,0.00,882,0.0,0.82,0.78,0.0,6.3,13.0,0.0
1939,0.88,0.82,-9.5,-11.4,186,0.00,0.00,-0.0,-7.71,100.0,1.000,1.9,2.6,87,0.31,4.60,0.00,885,0.0,0.82,0.78,0.0,6.3,12.5,0.0
