sample,time,F_AFR,F_AFR_C_%,F_AFR_L_%,IPW_ms,FPDC_%,IAM,IGN_T_deg,IGN_FLKC,Boost_psi,WGDC_%,IAT_F,MAF_g/s,MAP_psi,VVT_DC_L,VVT_DC_R,VVT_Adv_L,VVT_Adv_R,Batt_V,ECT_F,RPM,MPH,Gas_Pedal,Throttle_%,Ign_Sw,A/C_Sw,Defog_Sw,Blower_Sw,Clutch_Sw,Brake_Sw,Load_g/rev
0,5030.000,14.7,0,-1.5625,3.072,100,1,22.5,0,-7.1098,0,114.8,6.4,7.4,9.41177,9.41177,0,0,13.28,143.6,1579.5,0,0,7.84314,1,0,0,0,1,0,.243115
1,5030.250,14.7,0,-1.5625,2.304,100,1,19,0,-9.72157,0,114.8,6.62,4.64314,9.41177,9.41177,0,0,13.28,143.6,1745,0,0,7.84314,1,0,0,0,1,0,.227622
2,5030.500,14.7,0,-1.5625,2.304,100,1,14.5,0,-10.4471,0,114.8,6.99,3.91765,9.41177,9.41177,0,0,13.68,143.6,1592.75,0,0,7.84314,1,0,0,0,1,0,.263318
3,5030.750,14.7,0,-1.5625,2.304,100,1,14.5,0,-10.5922,0,114.8,6.77,3.91765,9.41177,9.41177,0,0,13.68,143.6,1409,0,0,7.84314,1,1,0,0,1,0,.28829
4,5031.000,14.7,0,-1.5625,2.56,100,1,14.5,0,-10.1569,0,114.8,6.74,4.20784,9.41177,9.41177,0,0,13.76,143.6,1261.25,0,0,7.84314,1,1,0,1,1,0,.320634
5,5031.250,14.7,0,-1.5625,2.56,100,1,14.5,0,-9.86667,0,114.8,6.85,4.64314,9.41177,9.41177,0,0,13.76,143.6,1164,0,0,7.84314,1,1,0,1,1,0,.353093
6,5031.500,14.7,0,-1.5625,2.816,100,1,14.5,0,-9.57647,0,114.8,6.88,4.78824,9.41177,9.41177,0,0,14,145.4,1146.5,0,0,7.84314,1,1,0,1,1,0,.360052
7,5031.750,14.7,0,-1.5625,2.816,100,1,14.5,0,-9.57647,0,114.8,6.7,4.93333,9.41177,9.41177,0,0,14,145.4,1165.75,0,0,7.84314,1,1,0,1,1,0,.344842
8,5032.000,14.7,0,-1.5625,2.816,100,1,14.5,0,-9.72157,0,114.8,6.59,4.78824,9.41177,9.41177,0,0,14,145.4,1193.25,0,0,7.45098,1,1,0,1,1,0,.331364
9,5032.250,14.7,0,-1.5625,2.56,100,1,14.5,0,-9.72157,0,114.8,6.55,4.64314,9.41177,9.41177,0,0,14,145.4,1216,0,0,7.84314,1,1,0,1,1,0,.323191
10,5032.500,14.7,0,-1.5625,2.816,100,1,14.5,0,-9.43137,0,114.8,7.44,4.93333,9.41177,9.41177,0,0,14.08,145.4,1257.25,0,0,8.23529,1,1,0,1,1,0,.355061
11,5032.750,14.7,0,-1.5625,2.816,100,1,14.5,0,-9.57647,0,114.8,7.18,4.93333,9.41177,9.41177,0,0,14.08,145.4,1262.5,0,0,8.23529,1,1,0,1,1,0,.341228
12,5033.000,14.7,0,-1.5625,2.816,100,1,14.5,0,-9.57647,0,114.8,7.29,4.93333,9.41177,9.41177,0,0,14.08,145.4,1240.25,0,0,8.23529,1,1,0,1,1,0,.352671
13,5033.250,14.7,0,-1.5625,2.816,100,1,14.5,0,-9.43137,0,114.8,7.29,4.93333,9.41177,9.41177,0,0,14.08,145.4,1218.75,0,0,7.84314,1,1,0,1,1,0,.358892
14,5033.500,14.7,0,-1.5625,2.816,100,1,14.5,0,-9.43137,0,113,7.1,4.93333,9.41177,9.41177,0,0,14,145.4,1216,0,0,7.84314,1,1,0,1,1,0,.350329
15,5033.750,14.7,0,-1.5625,2.816,100,1,14.5,0,-9.43137,0,113,7.25,4.93333,9.41177,9.41177,0,0,14,145.4,1221.25,0,0,7.84314,1,1,0,1,1,0,.356192
16,5034.000,14.7,0,-1.5625,2.816,100,1,14.5,0,-9.43137,0,113,6.88,4.93333,9.41177,9.41177,0,0,14.08,145.4,1211.5,0,0,7.84314,1,1,0,1,1,0,.340735
