Time (msec),AFR (lambda),AFR Target (lambda),Boost (psi),Boost Target (psi),Coolant (degF),FKC (deg),FLKC (deg),Fuel correct (%),Fuel learn (%),Fuel pump DC (%),IAM,Injector DC (%),Injector PW (ms),Intake (degF),Load (g/rev),MAF (g/s),Req TQ,RPM,Speed (mph),TGV left (V),TGV right (V),Throttle pedal (%),Throttle plate (%),Timing (deg),Turbo WGDC (%)
224488,0.93,0.87,-1.6,4.5,185,0.00,0.00,-1.6,0.00,66.7,1.000,16.8,7.2,111,1.19,55.63,308.75,2801,27.3,3.66,3.66,100.0,35.7,28.5,51.8
224591,0.89,0.87,-0.3,5.2,185,0.00,0.00,-4.6,0.00,100.0,1.000,19.4,8.2,111,1.39,65.97,350.00,2838,27.3,3.66,3.66,100.0,96.5,22.5,58.8
224693,0.87,0.85,1.6,13.5,185,0.00,0.00,-6.7,0.00,100.0,1.000,22.9,9.5,111,1.45,69.93,350.00,2889,28.0,3.66,3.66,100.0,100.0,21.0,58.8
224796,0.85,0.88,2.6,13.5,185,0.00,0.00,-0.0,0.00,100.0,1.000,23.6,9.7,111,1.54,75.14,350.00,2923,28.0,3.66,3.66,100.0,100.0,19.5,58.8
224896,0.80,0.85,3.6,13.5,185,0.00,0.00,-0.0,0.00,100.0,1.000,26.0,10.5,111,1.63,80.89,350.00,2970,28.6,3.66,3.66,100.0,100.0,18.0,58.4
224998,0.77,0.85,4.7,13.5,185,0.00,0.00,-0.0,0.00,100.0,1.000,28.4,11.3,111,1.74,87.42,350.00,3015,29.2,3.66,3.66,100.0,100.0,16.0,58.4
225100,0.76,0.84,5.9,13.5,185,0.00,0.00,-0.0,0.00,100.0,1.000,32.5,12.8,111,1.88,95.62,350.00,3047,29.8,3.66,3.66,100.0,100.0,14.5,58.4
225206,0.75,0.78,7.2,13.5,185,0.00,0.00,-0.0,0.00,100.0,1.000,35.7,13.8,111,1.96,101.54,350.00,3102,29.8,3.66,3.66,100.0,100.0,12.5,58.0
225305,0.75,0.76,8.5,13.5,185,0.00,0.00,-0.0,0.00,100.0,1.000,40.6,15.4,109,2.14,112.96,350.00,3166,30.4,3.66,3.66,100.0,100.0,11.0,58.0
225406,0.75,0.73,9.8,13.5,185,0.00,0.00,-0.0,0.00,100.0,1.000,44.5,16.6,109,2.27,121.53,350.00,3218,31.1,3.66,3.66,100.0,100.0,10.0,58.0
225507,0.75,0.71,11.1,13.5,185,0.00,0.00,-0.0,0.00,100.0,1.000,47.4,17.4,109,2.32,126.35,350.00,3270,31.7,3.66,3.66,100.0,100.0,8.0,57.6
225611,0.75,0.71,12.4,13.5,185,0.00,0.00,-0.0,0.00,100.0,1.000,48.1,17.4,109,2.39,132.17,350.00,3318,32.3,3.66,3.66,100.0,100.0,8.0,55.3
225712,0.75,0.73,13.1,13.5,185,0.00,0.00,-0.0,0.00,100.0,1.000,49.8,17.7,109,2.42,136.14,350.00,3379,32.9,3.66,3.66,100.0,100.0,6.5,54.9
225814,0.75,0.73,13.5,13.5,185,0.00,0.00,-0.0,0.00,100.0,1.000,51.0,17.7,109,2.38,137.26,350.00,3460,33.6,3.66,3.66,100.0,100.0,7.0,55.3
225918,0.75,0.73,13.4,13.5,185,0.00,0.00,-0.0,0.00,100.0,1.000,50.3,17.2,109,2.36,137.83,350.00,3509,34.2,3.66,3.66,100.0,100.0,8.0,55.7
226018,0.75,0.74,13.2,13.5,185,0.00,0.00,-0.0,0.00,100.0,1.000,50.2,16.9,109,2.35,139.30,350.00,3561,34.2,3.66,3.66,100.0,100.0,8.5,56.5
226122,0.75,0.74,12.9,13.5,185,0.00,0.00,-0.0,0.00,100.0,1.000,51.2,16.9,109,2.33,141.36,350.00,3639,34.8,3.66,3.66,100.0,100.0,9.5,57.3
226222,0.75,0.74,12.8,13.5,185,0.00,0.00,-0.0,0.00,100.0,1.000,50.6,16.6,107,2.34,142.54,350.00,3657,35.4,3.66,3.66,100.0,100.0,10.0,57.3
