Time (msec),AFR (lambda),AFR Target (lambda),Boost (psi),Boost Target (psi),Coolant (degF),FKC (deg),FLKC (deg),Fuel correct (%),Fuel learn (%),Fuel pump DC (%),IAM,Injector DC (%),Injector PW (ms),Intake (degF),Load (g/rev),MAF (g/s),Req TQ,RPM,Speed (mph),TGV left (V),TGV right (V),Throttle pedal (%),Throttle plate (%),Timing (deg),Turbo WGDC (%)
709879,0.89,0.87,0.2,11.1,188,0.00,0.00,-0.0,-7.32,66.7,1.000,13.8,7.4,77,1.25,46.53,350.00,2232,14.9,3.66,3.66,100.0,100.0,15.0,72.5
709983,0.89,0.87,1.2,11.4,188,0.00,0.00,-0.0,-6.88,66.7,1.000,14.0,7.9,77,1.33,47.19,350.00,2121,15.5,3.66,3.66,100.0,100.0,13.0,77.3
710084,0.89,0.87,1.8,10.6,188,0.00,0.00,-0.0,-6.64,100.0,1.000,13.0,8.2,77,1.41,44.99,346.02,1909,16.2,3.66,3.66,100.0,100.0,7.5,89.8
710186,0.88,0.85,2.2,8.2,188,0.00,0.00,-0.0,-6.25,100.0,1.000,11.8,8.7,77,1.47,39.87,334.24,1629,16.8,3.66,3.66,100.0,100.0,3.0,89.8
710286,0.86,0.87,2.5,7.2,186,0.00,0.00,-0.0,-6.05,100.0,1.000,13.1,8.4,77,1.30,40.72,345.74,1874,17.4,3.66,3.66,100.0,100.0,7.0,89.8
710391,0.84,0.87,2.7,7.4,186,0.00,0.00,-0.0,-5.66,100.0,1.000,12.5,8.4,77,1.49,44.34,345.99,1786,18.0,3.66,3.66,100.0,100.0,7.0,89.8
710491,0.86,0.87,3.0,8.1,186,0.00,0.00,-0.0,-5.32,100.0,1.000,13.2,8.4,77,1.36,42.69,344.99,1883,18.0,3.66,3.66,100.0,100.0,5.5,89.8
710593,0.87,0.88,3.2,7.4,186,0.00,0.00,-0.0,-5.18,100.0,1.000,14.4,8.7,77,1.46,48.51,347.09,1990,18.6,3.66,3.66,100.0,100.0,5.0,89.4
710695,0.88,0.87,3.5,8.6,186,0.00,0.00,-0.0,-4.83,100.0,1.000,14.6,9.0,77,1.48,47.85,348.18,1942,19.3,3.64,3.66,100.0,100.0,4.5,89.8
710797,0.88,0.88,3.8,8.2,186,0.00,0.00,-0.0,-4.69,100.0,1.000,15.7,9.0,77,1.47,51.37,349.33,2096,19.9,3.64,3.66,100.0,100.0,5.0,85.1
710899,0.88,0.88,4.2,9.3,186,0.00,0.00,-0.0,-4.44,100.0,1.000,15.8,9.2,77,1.55,53.43,350.00,2064,20.5,3.66,3.66,100.0,100.0,5.5,85.1
711002,0.88,0.88,4.6,9.7,186,0.00,0.00,-0.0,-4.15,100.0,1.000,16.5,9.2,77,1.52,54.70,350.00,2153,20.5,3.66,3.68,100.0,100.0,5.5,82.0
711106,0.87,0.88,4.9,9.8,186,0.00,0.00,-0.0,-4.00,100.0,1.000,17.5,9.5,77,1.62,59.51,350.00,2208,21.1,3.66,3.68,100.0,100.0,6.5,71.8
711206,0.87,0.88,5.4,11.4,186,0.00,0.00,-0.0,-3.76,100.0,1.000,18.3,9.7,77,1.63,61.42,350.00,2261,21.7,3.66,3.68,100.0,100.0,6.0,70.6
711308,0.87,0.88,5.8,11.2,186,0.00,0.00,-0.0,-3.66,100.0,1.000,20.1,10.2,77,1.69,66.48,350.00,2362,22.4,3.66,3.68,100.0,100.0,6.0,63.9
711409,0.86,0.87,6.4,12.8,186,0.00,0.00,-0.0,-3.42,100.0,1.000,21.3,10.8,77,1.77,69.84,350.00,2362,23.0,3.66,3.68,100.0,100.0,6.5,62.7
711512,0.84,0.84,7.0,13.0,186,0.00,0.00,-0.0,-3.22,100.0,1.000,23.3,11.3,77,1.78,73.57,350.00,2473,23.6,3.66,3.68,100.0,100.0,6.5,59.6
711613,0.80,0.83,7.6,13.5,186,0.00,0.00,-0.0,-3.13,100.0,1.000,25.7,12.3,77,1.93,80.63,350.00,2509,24.2,3.66,3.68,100.0,100.0,6.0,58.0
711716,0.79,0.81,8.4,13.5,186,0.00,0.00,-0.0,-2.93,100.0,1.000,27.8,12.8,77,1.95,84.77,350.00,2610,24.9,3.66,3.68,100.0,100.0,6.0,56.9
711820,0.76,0.82,9.3,13.5,186,0.00,0.00,-0.0,-2.83,100.0,1.000,30.0,13.6,77,2.07,91.19,350.00,2648,25.5,3.66,3.68,100.0,100.0,6.0,56.5
711920,0.76,0.82,10.2,13.5,186,0.00,0.00,-0.0,-2.69,100.0,1.000,32.2,14.1,75,2.11,96.36,350.00,2742,26.1,3.66,3.68,100.0,100.0,5.5,54.9
712025,0.76,0.81,11.0,13.5,186,0.00,0.00,-0.0,-2.49,100.0,1.000,35.2,15.1,75,2.26,105.29,350.00,2800,27.3,3.66,3.68,100.0,100.0,5.5,53.7
712123,0.76,0.80,12.2,13.5,186,0.00,0.00,-0.0,-2.44,100.0,1.000,38.5,16.1,75,2.38,113.77,350.00,2873,28.0,3.66,3.66,100.0,100.0,5.0,51.4
712225,0.76,0.78,13.0,13.5,186,0.00,0.00,-0.0,-2.29,100.0,1.000,40.5,16.4,75,2.42,119.26,350.00,2961,28.6,3.66,3.66,100.0,100.0,3.5,49.4
712328,0.76,0.80,13.8,13.5,186,0.00,0.00,-0.0,-2.20,100.0,1.000,41.7,16.6,75,2.47,124.29,350.00,3015,29.2,3.64,3.66,100.0,100.0,3.5,49.0
712430,0.76,0.80,14.0,13.5,186,0.00,0.00,-0.0,-2.10,100.0,1.000,43.2,16.4,75,2.36,124.29,350.00,3159,29.8,3.64,3.68,100.0,100.0,4.0,48.2
712535,0.76,0.80,13.9,13.5,186,0.00,0.00,-0.0,0.00,100.0,1.000,43.9,16.6,75,2.43,128.25,350.00,3171,31.1,3.66,3.68,100.0,100.0,5.5,48.2
712634,0.76,0.81,13.7,13.5,186,0.00,0.00,-0.0,0.00,100.0,1.000,44.4,16.1,75,2.34,129.28,350.00,3312,31.7,3.66,3.68,100.0,100.0,6.5,49.0
712736,0.76,0.81,13.2,13.5,186,0.00,0.00,-0.0,0.00,100.0,1.000,44.4,15.9,75,2.36,131.99,350.00,3352,32.9,3.66,3.68,100.0,100.0,8.5,49.4
712837,0.76,0.81,12.9,13.5,186,0.00,0.00,-0.0,0.00,100.0,1.000,44.1,15.4,75,2.32,132.81,350.00,3439,33.6,3.66,3.68,100.0,100.0,10.5,51.0
712941,0.76,0.81,12.7,13.5,186,0.00,0.00,-0.0,0.00,100.0,1.000,44.5,15.1,75,2.27,134.19,350.00,3540,34.2,3.66,3.68,100.0,100.0,11.0,52.5
713042,0.76,0.82,12.6,13.5,186,0.00,0.00,-0.0,0.00,100.0,1.000,45.3,15.1,75,2.31,138.62,350.00,3602,34.8,3.66,3.68,100.0,100.0,11.5,52.5
713144,0.76,0.82,12.7,13.5,186,0.00,0.00,-0.0,0.00,100.0,1.000,46.5,15.1,75,2.33,143.56,350.00,3699,36.0,3.66,3.68,100.0,100.0,11.0,51.8
713247,0.76,0.82,12.9,13.5,186,0.00,0.00,-0.0,0.00,100.0,1.000,48.5,15.4,75,2.37,149.17,350.00,3777,36.7,3.66,3.68,100.0,100.0,9.5,51.4
713350,0.76,0.82,13.2,13.3,186,0.00,0.00,-0.0,0.00,100.0,1.000,50.4,15.6,75,2.38,153.35,350.00,3874,37.3,3.66,3.66,100.0,100.0,10.0,50.6
